aX,aY,aZ,gX,gY,gZ
-0.175,-0.127,0.982,17.334,21.912,-3.235
-0.146,-0.146,0.976,8.545,10.376,-2.991
-0.087,-0.152,0.963,0.122,-0.732,-1.160
-0.073,-0.123,0.971,-11.963,-13.184,0.122
-0.100,-0.113,0.956,-23.926,-23.865,2.930
-0.118,-0.088,0.980,-32.776,-27.954,5.188
-0.112,-0.097,0.981,-41.687,-27.771,5.920
-0.184,-0.070,0.915,-52.368,-29.419,6.775
-0.174,-0.016,0.731,-56.458,-30.334,3.174
0.128,-0.087,0.577,-44.556,-27.344,3.174
-0.278,0.156,0.573,-38.574,-39.368,13.611
-0.341,0.012,0.664,-16.846,-25.208,9.338
-0.236,-0.036,0.678,-2.197,2.197,-0.122
-0.194,-0.071,0.657,2.258,8.850,-3.052
-0.144,-0.068,0.633,-3.662,5.127,-4.883
-0.088,-0.057,0.656,-14.709,-5.066,-6.714
-0.025,0.007,0.650,-28.748,-11.108,-6.714
-0.036,0.045,0.612,-38.025,-9.399,-5.920
-0.024,0.049,0.555,-38.208,-1.709,-5.798
-0.008,0.022,0.521,-33.691,7.996,-6.042
-0.021,-0.020,0.492,-29.541,15.320,-5.859
-0.042,-0.002,0.423,-27.771,21.790,-5.981
-0.083,0.050,0.355,-23.682,30.884,-8.728
-0.096,0.070,0.202,-15.686,40.100,-13.062
-0.066,0.072,0.070,-8.606,34.851,-16.174
-0.113,0.107,0.004,-3.845,13.306,-17.273
-0.098,0.087,0.025,3.113,-7.629,-16.663
-0.034,0.089,0.151,8.484,-22.339,-16.113
-0.033,0.082,0.262,14.526,-32.654,-14.099
-0.078,0.045,0.463,26.062,-36.743,-10.803
-0.150,-0.043,0.706,36.743,-34.363,-8.789
-0.190,-0.077,0.862,32.715,-29.480,-10.010
-0.126,-0.091,0.928,15.442,-18.555,-12.512
-0.157,0.039,0.899,-2.075,0.366,-13.794
-0.129,0.061,0.771,-10.864,24.231,-16.296
-0.086,0.077,0.624,-16.296,41.443,-19.104
-0.135,0.070,0.516,-18.555,43.945,-20.020
-0.144,0.065,0.402,-13.428,38.635,-21.057
-0.074,0.082,0.379,3.357,27.283,-20.813
-0.065,0.045,0.536,30.823,8.972,-16.296
0.058,-0.001,0.862,59.570,-5.676,-11.841
-0.231,-0.118,1.105,75.012,-19.897,-6.104
-0.191,-0.074,1.379,74.524,-7.935,-7.202
-0.248,-0.126,1.462,63.416,14.526,-14.343
-0.118,-0.029,1.150,30.029,28.259,-25.269
0.029,0.096,0.750,3.357,42.297,-31.982
0.006,0.088,0.637,6.287,47.363,-29.541
-0.012,0.012,0.668,27.588,47.058,-25.818
-0.019,-0.064,0.842,52.063,39.429,-23.254
-0.012,-0.127,1.094,74.463,27.222,-16.113
-0.040,-0.206,1.409,85.266,13.489,-10.864
-0.054,-0.299,1.745,79.956,8.606,-6.104
-0.199,-0.350,1.902,58.777,16.174,-1.404
-0.349,-0.324,1.886,32.593,25.818,-0.366
-0.353,-0.259,1.771,17.029,33.081,-2.808
-0.355,-0.241,1.574,12.512,29.358,-3.784
-0.193,-0.200,1.485,14.404,31.860,-6.958
-0.023,-0.256,1.410,21.118,51.208,-16.174
0.111,-0.223,1.352,8.850,57.129,-12.085
0.069,-0.156,1.208,-7.324,60.730,-10.315
0.073,-0.160,1.191,-13.306,62.439,-10.254
-0.004,-0.122,1.284,-13.489,53.772,-7.446
-0.092,-0.098,1.506,-7.690,39.368,-6.714
-0.272,-0.187,1.611,6.104,17.456,-2.380
-0.302,-0.212,1.595,18.188,-1.160,-3.235
-0.205,-0.209,1.492,24.841,-14.893,-7.080
-0.090,-0.210,1.296,23.437,-24.963,-8.728
0.025,-0.168,1.090,14.160,-22.644,-10.010
0.104,-0.140,0.995,3.296,-8.972,-9.155
0.008,-0.160,1.000,-5.859,3.235,-4.883
-0.138,-0.182,1.064,-13.062,16.663,-4.578
-0.246,-0.242,1.076,-17.090,28.992,-6.592
-0.233,-0.205,1.107,-18.433,27.649,-7.568
-0.152,-0.131,1.086,-15.381,15.747,-7.629
-0.069,-0.076,1.092,-3.723,4.639,-6.714
-0.015,-0.044,1.182,11.597,-3.113,-3.784
-0.096,-0.104,1.460,23.193,-11.230,1.099
-0.586,-0.736,2.870,15.808,-8.057,6.287
-0.038,-0.259,2.553,-78.491,37.415,1.404
-0.202,0.476,1.177,-160.645,27.466,-16.418
-0.242,0.301,0.932,-101.135,22.278,-26.428
0.169,0.010,1.091,-28.748,46.631,-31.433
0.183,0.038,1.022,-13.550,36.072,-28.137
0.067,0.050,0.906,-9.033,18.188,-16.296
0.036,-0.107,0.898,4.028,12.817,-6.226
0.037,-0.128,0.890,1.526,8.179,-2.441
0.008,-0.152,0.879,-12.634,1.465,0.549
-0.015,-0.171,0.873,-31.677,1.709,1.038
0.199,-0.001,1.201,-48.828,0.305,-1.892
-0.003,0.080,1.074,-52.185,-20.508,-0.916
-0.006,0.102,0.981,-41.321,-23.193,-2.014
0.056,0.061,1.044,-26.611,-18.860,-1.526
0.016,0.099,1.038,-23.071,-27.771,3.845
-0.060,0.096,0.994,-21.240,-32.288,8.057
-0.071,0.110,1.007,-14.954,-23.254,6.775
-0.099,0.099,0.997,-7.690,-10.315,3.784
-0.159,0.019,0.950,-1.892,0.610,1.465
-0.114,-0.016,0.944,-2.441,2.686,-1.038
-0.015,0.036,0.946,-7.751,-3.418,-2.563
0.036,0.057,0.946,-11.169,-7.324,-3.052
0.064,0.073,0.960,-11.841,-7.874,-2.319
0.048,0.109,1.001,-11.963,-6.348,-1.648
-0.007,0.119,1.002,-8.301,-5.066,-0.671
-0.035,0.110,0.953,-2.136,0.122,-0.427
-0.047,0.076,0.989,2.808,8.362,-1.099
-0.073,0.042,1.005,4.761,10.620,-0.122
-0.097,0.027,0.970,4.700,9.705,1.221
-0.068,0.009,0.978,5.066,8.301,1.709
-0.058,0.039,1.007,4.517,4.333,2.930
-0.032,0.048,0.987,6.042,2.136,3.235
-0.017,0.031,0.970,8.911,1.831,3.601
-0.020,0.018,0.971,7.629,0.000,4.517
-0.016,0.007,0.969,5.005,-2.808,5.859
-0.005,0.017,0.966,2.686,-5.249,5.798
0.001,0.026,0.965,0.732,-6.104,4.333
0.000,0.046,0.993,-1.221,-6.714,3.845
0.000,0.050,0.980,-2.441,-6.592,3.967
0.025,0.054,0.967,-2.380,-6.226,3.357
0.019,0.047,0.959,-2.014,-6.958,4.333

-0.285,-0.095,1.130,-10.498,-6.836,-3.418
-0.279,-0.052,1.117,-24.719,-6.592,-5.310
-0.234,-0.031,1.046,-33.691,-7.812,-6.104
-0.177,-0.022,0.986,-37.354,-11.169,-4.761
-0.190,0.022,0.880,-40.955,-16.357,-2.014
-0.186,-0.115,1.067,-34.607,-19.653,0.305
-0.209,0.057,0.824,-45.288,-21.362,1.709
-0.223,0.187,0.632,-39.673,-21.057,0.732
-0.275,0.009,0.829,-18.555,-16.724,2.991
-0.295,0.043,0.799,-18.066,-13.123,3.357
-0.294,0.099,0.703,-22.705,-9.888,1.526
-0.274,0.081,0.721,-15.991,-3.662,1.160
-0.264,0.051,0.695,-15.564,-0.366,0.977
-0.324,0.039,0.634,-19.897,1.038,1.892
-0.303,0.052,0.567,-25.940,5.737,0.427
-0.267,0.096,0.446,-32.959,7.080,-0.793
