aX,aY,aZ,gX,gY,gZ
0.003,-0.039,1.001,-0.183,0.671,0.549
-0.023,-0.059,1.008,-3.357,-0.183,-1.953
-0.007,-0.065,0.977,-4.211,-2.380,-4.578
-0.004,-0.022,0.985,-2.991,-6.531,-6.226
0.104,-0.178,1.294,-0.671,-8.118,-4.944
-0.033,0.012,0.878,-2.441,-20.874,-3.540
-0.120,-0.013,0.879,3.601,-21.301,-3.052
0.108,-0.021,1.048,2.441,8.240,-2.258
0.092,-0.046,0.966,3.174,3.418,-2.686
0.056,-0.047,0.964,4.089,-3.357,-3.052
0.174,-0.036,1.000,3.174,4.578,-3.418
0.143,-0.020,0.975,3.540,0.610,-3.967
0.164,-0.009,0.976,3.906,-0.671,-4.272
0.211,0.026,0.980,3.601,1.892,-3.845
0.213,0.019,0.986,3.845,0.122,-2.625
0.167,0.008,0.988,4.028,-0.366,-0.671
0.172,-0.005,0.982,3.967,0.366,1.526
0.147,-0.010,0.973,3.845,-0.183,2.563
0.145,-0.019,0.982,3.601,0.183,3.662
0.116,-0.015,0.965,3.723,-0.305,4.761
0.150,-0.023,0.988,3.235,1.404,6.104
0.117,0.006,0.979,3.235,-0.549,8.057
0.131,0.004,0.986,2.869,0.122,10.986
0.123,-0.019,0.984,2.747,0.183,13.184
0.097,-0.032,0.983,2.808,0.122,14.832
0.087,-0.047,0.975,2.930,-0.305,15.503
0.073,-0.060,0.977,2.869,-0.122,15.320
0.073,-0.055,0.980,2.991,-0.427,14.221
0.078,-0.048,0.984,2.869,0.732,13.672
0.046,-0.057,0.981,3.113,0.366,13.184
0.053,-0.052,0.987,2.991,1.648,13.000
0.037,-0.060,0.984,2.808,1.282,13.123
0.005,-0.074,0.985,3.113,0.427,13.184
0.013,-0.066,0.987,3.418,0.000,12.695
-0.023,-0.046,0.975,3.540,-1.038,11.902
-0.008,-0.025,0.985,3.357,-0.061,10.498
-0.002,-0.015,0.987,3.723,-0.793,10.376
-0.042,0.005,0.986,3.784,-2.319,11.536
-0.006,0.010,0.987,3.845,-0.305,13.733
-0.045,-0.014,0.976,4.211,-0.977,16.174
-0.067,-0.034,0.979,4.517,-2.014,17.517
-0.077,-0.041,0.977,4.456,-1.465,17.395
-0.080,-0.049,0.985,4.028,-0.549,16.541
-0.044,-0.055,0.985,4.089,-0.977,15.503
-0.131,-0.053,0.983,4.700,-3.662,14.832
-0.092,-0.047,0.960,4.028,-0.488,12.695
-0.068,-0.032,0.999,3.784,1.831,11.658
-0.085,0.009,0.974,4.150,-0.305,11.963
-0.068,-0.006,0.986,4.578,0.610,13.184
-0.083,0.017,0.976,4.272,1.404,13.855
-0.007,-0.005,1.023,4.028,3.052,14.343
-0.122,0.008,0.961,4.272,-1.404,14.404
-0.099,-0.035,0.981,4.211,1.038,14.709
-0.021,-0.077,1.064,3.418,9.949,13.306
-0.038,-0.058,0.961,3.723,3.784,9.216
-0.136,-0.024,0.986,4.883,-5.859,7.141
-0.016,0.001,0.986,4.028,1.831,6.287
-0.031,0.044,0.984,4.456,-3.113,5.859
-0.064,0.078,0.968,4.700,-5.066,7.141
-0.005,0.062,0.998,4.150,-2.136,8.972
-0.160,0.023,0.961,4.089,-3.784,10.986
0.045,0.020,0.986,3.052,4.028,12.390
-0.050,0.008,0.986,3.662,-1.221,13.977
-0.079,-0.020,0.979,4.150,-4.700,15.137
-0.098,-0.030,0.978,3.723,-3.296,14.099
-0.053,-0.031,0.983,3.418,-0.366,12.939
-0.076,-0.025,0.985,3.601,-1.526,11.292
-0.082,-0.009,0.979,3.845,-2.075,10.498
-0.024,0.005,0.989,3.540,-0.977,10.254
-0.042,-0.000,0.987,4.028,-4.089,10.681
-0.058,-0.000,0.983,4.150,-6.165,11.475
-0.056,-0.004,0.973,3.967,-5.432,11.902
-0.037,-0.002,0.972,3.540,-2.686,12.146
-0.025,-0.008,0.988,3.601,-0.427,12.817
-0.007,-0.011,0.988,3.540,0.549,13.733
-0.017,-0.055,0.981,3.967,-1.160,13.733
-0.031,-0.069,0.979,4.028,-1.831,12.817
-0.027,-0.029,0.970,4.028,-1.343,11.047
-0.065,-0.029,0.981,3.601,1.892,10.498
-0.010,-0.068,1.010,3.052,6.531,9.399
-0.041,-0.043,0.987,3.235,-1.892,6.714
-0.043,-0.050,0.980,3.601,-2.686,6.714
-0.029,-0.039,0.977,3.418,-1.770,6.714
-0.033,-0.026,0.981,3.967,-2.808,6.775
-0.039,-0.017,0.986,4.333,-2.625,7.202
-0.031,-0.008,0.977,4.028,-1.587,7.568
-0.025,-0.004,0.984,4.150,-0.610,7.751
-0.010,-0.005,0.987,4.272,-0.671,7.812
-0.023,-0.007,0.988,4.822,-2.991,8.789
-0.018,-0.005,0.980,4.761,-3.479,10.071
-0.036,-0.039,0.981,4.639,-3.601,11.047
-0.075,-0.053,0.968,4.395,-3.113,10.864
-0.059,-0.041,0.988,3.906,1.160,8.911
0.019,-0.019,0.986,3.357,4.028,6.348
-0.033,-0.004,0.982,3.906,-1.526,6.042
0.006,-0.010,0.984,3.906,-0.244,6.836
0.008,-0.009,0.997,4.211,-0.305,7.935
-0.041,-0.029,0.975,4.333,-2.991,8.606
-0.010,-0.029,0.982,3.845,-0.793,7.935
0.006,-0.025,0.983,3.906,0.183,7.019
-0.010,-0.012,0.987,4.272,-1.770,6.104
-0.005,-0.021,0.983,4.272,-1.953,5.981
-0.014,-0.031,0.991,4.089,-1.709,6.226
-0.036,-0.052,0.978,4.150,-2.563,5.859
-0.066,-0.045,0.978,3.906,-2.625,4.578
-0.058,-0.020,0.982,3.479,-1.099,2.869
-0.065,-0.021,0.985,3.784,-1.953,1.221
-0.150,-0.006,1.013,4.211,-4.700,-1.160
-0.021,-0.097,0.949,5.127,-7.812,-5.798
-0.017,-0.015,0.983,4.944,-4.150,-4.150
-0.021,0.025,0.987,4.272,-2.319,-1.099
-0.025,0.034,0.981,4.456,-2.258,1.404
-0.031,0.047,0.976,3.906,-1.587,3.601
-0.019,0.020,0.984,3.540,0.244,6.714
-0.015,-0.015,0.994,3.540,0.610,9.033
-0.045,-0.022,0.977,3.662,-1.343,10.620
